J szám,DÁTUM,CÉGNÉV,CÍM,ÜGYFÉL NEVE,MUNKASZÁM,eszköz,Gyáriszám,HIBAJELENSÉG,ELKÉSZÜLÉS ,NYITOTT - 1 LEZÁRT  - 0,MUNKAÓRA,DOLGOZÓ,VÉGZETT MUNKA,FELHASZNÁLT ANYAG,"
JAVÍTÁS HELYE
1-GYÁRTÁS
2-SZÉV
3-EGYÉB",MEGJEGYZÉS,"Javított egység beépítési
helye",Szervízlap száma,Egyéb információk,
J00113,2021/02/23,NCT (TAKSONY),Taksony,üzem,M20081,DAC 60/120-LT,43F-13-5899,"jó, nem ez kell bele",,0,,,,,,,,,,
J00114,2021/02/23,NCT (TAKSONY),Taksony,üzem,M15013,IPS2,607-10-0877,átnézni,,1,,,,,,,,,,
J00115,2021/02/23,NCT (TAKSONY),Taksony,üzem,M14299,IPS2,607-10-0840,átnézni,,1,,,,,,,,,,
J00116,2021/02/23,NCT (TAKSONY),Taksony,üzem,M18168,IPS2,607-10-0925,átnézni,,1,,,,,,,,,,
J00117,2021/02/23,NCT (TAKSONY),Taksony,üzem,M18093,IPS1,606-10-0760,átnézni,,1,,,,,,,,,,
J00118,2021/02/23,NCT (TAKSONY),Taksony,üzem,M20029,IPS2,607-10-0924,átnézni,,1,,,,,,,,,,
J00119,2021/02/24,NCT (TAKSONY),Taksony,üzem,M20084,DSC-10/20LE,42B-11-5795,"jó, csak változik 20/40-LE-re",,0,,,,,,,,,,
J00120,2021/02/25,NCT (TAKSONY),Taksony,üzem,M20098,AiB28,F0E-10-9383,sérült a csati és a motor egyik sarka,,1,,,,,,"Fémó-nak kiküldve javításra, Taksony a cserét megkapta!",,,,
J00121,2021/02/25,NCT (TAKSONY),Taksony,üzem,M20085,HWM kézikerék,16-1-746,"jó , cserélve lett IHDW-re",,0,,,,,,,,,,
J00122,2021/02/25,NCT (TAKSONY),Taksony,üzem,M20086,HWM kézikerék,16-1-747,"jó, cserélve lett IHDW-re",,0,,,,,,,,,,
J00123,2021/02/25,NCT (TAKSONY),Taksony,üzem,M20083,Ai28,D07-10-9442,"Jó, ide nem kell",,0,,,,,,,,,,
J00124,2021/02/26,NCT (TAKSONY),Taksony,üzem,M18248,DSC-20/40-RE,42C-12-5593,"WKC hiba, Z hajtás túláram hiba",2021/05/05/,0,"1,00",Dévai,hiba nem jel. Teszt,,,,,,,
J00125,2021/02/26,NCT (TAKSONY),Taksony,üzem,M20098,DSC-10/20-LE,42B-11-5957,"jó, cserélve lett 20/40LE-re",,0,,,,,,,,,,
J00126,2021/03/02,NCT (TAKSONY),Taksony,üzem,M20077,DAC-20/40-LT,43C-13-5601,"kiadja az alapjelet, engedélyezést és nem töténik semmit",2021/03/09/,0,"1,00",Dévai,"hiba nem jel, teszt ok, laborba adva( igbt engedélyt elfelejtették?)",,,javítva bekerült a késztermék raktárba,,,,
J00127,2021/03/05,NCT (TAKSONY),Taksony,üzem,M20118,DAC-10/20RT,43B-14-5273,"jó, nem kell",,0,,,,,,,,,,
J00128,2021/03/05,NCT (TAKSONY),Taksony,üzem,M20098,ECAT-ENDAT kártya,13-2-394,"jó,2x kaptuk meg",,0,,,,,,,,,,
J00129,2021/03/05,NCT (TAKSONY),Taksony,üzem,M20098,ECAT-ENDAT kártya,13-2-390,"jó,2x kaptuk meg",,0,,,,,,,,,,
J00130,2021/03/05,NCT (TAKSONY),Taksony,üzem,M20098,EPU-R,4-2-255,"jó,2x kaptuk meg",,0,,,,,,,,,,
J00131,2021/03/11,NCT (TAKSONY),Taksony,üzem,M20097,DSC-10/20-LE,42B-11-5911,"jó, nem kellett",,0,,,,,,,,,,
J00132,2021/03/11,NCT (TAKSONY),Taksony,üzem,M18248,DANI kártya,010-00-0050,"jó, nem kellett",,0,,,,,,,,,,
J00133,2021/03/12,NCT (TAKSONY),Taksony,üzem,M14233,AiB8,F83-10-7161,"jó, nem kellett",,0,,,,,,megy fel gyártásra ellenőrzésre,,,,
J00134,2021/03/12,NCT (TAKSONY),Taksony,üzem,M20127,"AiB2,5",F81-10-9580,"jó, nem kellett",,0,,,,,,,,,,
J00135,2021/03/12,NCT (TAKSONY),Taksony,üzem,M20083,Ai8,D04-10-9462,"jó, nem kellett",,0,,,,,,,,,,
J00136,2021/03/12,NCT (TAKSONY),Taksony,üzem,M20098,Ai8,D04-10-9529,"jó, nem kellett",,0,,,,,,,,,,
J00137,2021/03/12,NCT (TAKSONY),Taksony,üzem,M20127,Ai8,D84-10-9574,"jó, nem kellett",,0,,,,,,,,,,
J00138,2021/03/12,NCT (TAKSONY),Taksony,üzem,M20130,"AiB2,5",F81-10-9250,"jó, nem ez kell",,0,,,,,,,,,,
J00139,2021/03/12,NCT (TAKSONY),Taksony,üzem,M15327,AiB8,F04-10-8632,"jó, nem kellett",,0,,,,,,megy fel gyártásra ellenőrzésre,,,,
J00140,2021/03/12,NCT (TAKSONY),Taksony,üzem,M19023,DAC-10/20RT,43B-14-5085,"jó, nem kellett",,0,,,,,,,,,,
J00141,2021/03/16,NCT (TAKSONY),Taksony,üzem,M20096,DAC-20/40LT,43C-13-6025,letört a szalagkábel csati füle,2021/03/29/,0,"1,00",Dévai,szalagkábel csati ház csere,,,Megy fel gyártásra javításra (03.17),,,,
J00142,2021/03/16,NCT (TAKSONY),Taksony,üzem,M19044,IPS2,607-10-1030,Zárlat?,,1,,,,,,Megy fel gyártásra javításra (03.17),,,,
J00143,2021/03/18,NCT (TAKSONY),Taksony,üzem,M19023,DSC-20/40RE,42C-12-5741,Boot loader betöltésihiba ,2021/05/05/,0,"1,00",Dévai,szofver újratöltés,,,Megy fel gyártásra javításra (03.18),,,,
J00144,2021/03/18,NCT (TAKSONY),Taksony,üzem,M19023,"Ai2,5-Z3",DA1-10-9325,jeladóhiba,,1,,,,,,,,,,
J00145,2021/03/19,NCT (TAKSONY),Taksony,üzem,M15023,DAC-10/20-LT,43B-13-5529,nem kapcsol be,2021/03/22/,0,"1,00",K.István,Trafó csere,,,Megy fel gyártásra javításra (03.22),,,,
J00146,2021/03/19,NCT (TAKSONY),Taksony,üzem,M20076(M15023),DAC-10/20-LT,43B-13-5561,indítás után kb.5mp után megáll,2021/03/22/,0,"1,00",K.István,Trafó csere,,,Megy fel gyártásra javításra (03.22),,,,
J00147,2021/03/23,NCT (TAKSONY),Taksony,üzem,M18263,DSC-10/20-LE,42B-11-5701,WKC HIBA megszakad az ethercat lánc,2021/04/28/,0,"1,00",Dévai,Trafó hiba,,,Megy fel gyártásra javításra (03.23),,,,
J00148,2021/03/24,NCT (TAKSONY),Taksony,üzem,M18259,AiB15,F05-10-9482,kézzel lehet forgatni a tengelyt és lötyög,,1,,,,,,Megy fel gyártásra javításra (03.25),,,,
J00149,2021/03/26,NCT (TAKSONY),Taksony,üzem,M20084,AiB15,F06-10-9273,"Jó, nagyobbra cserélve",,0,,,,,,,,,,
J00150,2021/03/26,NCT (TAKSONY),Taksony,üzem,M20084,Ai8,D04-10-9463,"Jó, nagyobbra cserélve",,0,,,,,,,,,,
J00151,2021/03/30,NCT (TAKSONY),Taksony,üzem,M18261,AiB15,F05-10-9364,kézzel lehet forgatni a tengelyt és lötyög,,1,,,,MEC0382V2 DC24V vent,,,,,,
J00152,2021/03/30,NCT (TAKSONY),Taksony,üzem,M19054,Ai8,D04-10-9447,"jó, felesleges az új munkalap szerint",,0,,,,,,,,,,
J00153,2021/03/30,NCT (TAKSONY),Taksony,üzem,M19054,DSC-10/20-LE,42B-11-5827,"jó, felesleges az új munkalap szerint",,0,,,,,,,,,,
J00154,2021/03/30,NCT (TAKSONY),Taksony,üzem,M19054,DSC-10/20-LE,42B-11-5828,"jó, felesleges az új munkalap szerint",,0,,,,,,,,,,
J00155,2021/03/30,NCT (TAKSONY),Taksony,üzem,M19054,"19"" vezérlő",,"jó, 15"" kell az új munkalap szerint",,0,,,,,,,,,,
J00156,2021/03/30,NCT (TAKSONY),Taksony,üzem,M19016,IP200 kártya,0054-20-1024,"50x nem működik, csak 1x",2021/04/01/,0,"1,00",Petró,"IP200 és Xilinx IC újraforrasztás, teszt és ellenőrzés",,,megy fel gyártásra (04.01),,,,
J00157,2021/03/31,NCT (TAKSONY),Taksony,üzem,M20096,EPU-SIS,100-30-1069,error led világít (egy napja még működött),,1,,,,,,,,,,
J00158,2021/04/07,NCT (TAKSONY),Taksony,üzem,M20096,DAC 20/40-LT,43C-13-5350,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00159,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18187,DSC 10/20-LE,42B-11-5541,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00160,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18187,DSC 10/20-LE,42B-11-5446,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00161,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18187,DSC 10/20-LE,42B-11-5524,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00162,2021/04/07,NCT (TAKSONY),Taksony,üzem,M19183,DSC 10/20-RE,42B-12-5410,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00163,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18187,DAC 20/40-LT,43C-13-5469,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00164,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18160,DSC 20/40-RE,42C-12-5403,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00165,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18160,DSC 20/40-RE,42C-12-5398,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00166,2021/04/07,NCT (TAKSONY),Taksony,üzem,M20005,DSC 10/20-LE,42B-11-5233,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00167,2021/04/07,NCT (TAKSONY),Taksony,üzem,M20005,DSC 10/20-LE,42B-11-5377,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00168,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18289,DSC 10/20-LE,42B-11-5429,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00169,2021/04/07,NCT (TAKSONY),Taksony,üzem,M18289,DSC 10/20-LE,42B-11-5431,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00170,2021/04/07,NCT (TAKSONY),Taksony,üzem,M15023,DAC 10/20-LT,43B-13-5566,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00171,2021/04/07,NCT (TAKSONY),Taksony,üzem,M20077,DAC 10/20-LT,43B-13-5547,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00172,2021/04/08,NCT (TAKSONY),Taksony,üzem,M18230,DSC 10/20-LE,42B-11-5303,"átnézni, nem kell vissza, 20/40-LE-re cserélve",2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00173,2021/04/08,NCT (TAKSONY),Taksony,üzem,M20130,DAC-20/40-LT,43C-13-5350,"átnézni, nem kell vissza, freki váltó kell helyette",2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00174,2021/04/09,NCT (TAKSONY),Taksony,üzem,M20034,DSC 10/20-LE,42B-11-5466,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00175,2021/04/09,NCT (TAKSONY),Taksony,üzem,M20034,DAC 20/40-LT,43C-13-5521,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00176,2021/04/09,NCT (TAKSONY),Taksony,üzem,M20034,DSC 10/20-LE,42B-11-5442,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00177,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19165,DSC 10/20-RE,42B-12-5386,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00178,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19165,DSC 10/20-RE,42B-12-5380,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00179,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19165,DSC 10/20-RE,42B-12-5381,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00180,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19166,DSC 10/20-LE,42B-11-5234,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00181,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19166,DSC 10/20-LE,42B-11-5238,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00182,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19166,DSC 10/20-LE,42B-11-5237,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00183,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19166,DSC 10/20-LE,42B-11-5235,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00184,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19166,DAC 40/80-LT,43E-13-5331,átnézni,2021/04/19/,0,"3,00",Csabai,trafó csere,,,,,,,
J00185,2021/04/09,NCT (TAKSONY),Taksony,üzem,M15322,DSC 10/20-LE,42B-11-5408,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00186,2021/04/09,NCT (TAKSONY),Taksony,üzem,M15322,DSC 10/20-LE,42B-11-5414,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00187,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19073,DSC 10/20-LE,42B-11-5305,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00188,2021/04/09,NCT (TAKSONY),Taksony,üzem,M19113,DSC 40/80-LE,42B-11-5318,átnézni,2021/04/16/,0,"3,00",Csabai,trafó csere,2 db trafó,,,,,,
J00189,2021/04/09,NCT (TAKSONY),Taksony,üzem,M20076,DAC 10/20-LT,43B-13-5523,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00190,2021/04/12,NCT (TAKSONY),Taksony,üzem,M19168,I32S KÁRTYA,00E-10-1078,15-ös bemenettől 31-ig több 100ms késleltetéssel kapcsolnak az inputok,,1,,,,,,,,,,
J00191,2021/04/14,NCT (TAKSONY),Taksony,üzem,M18192,DSC 10/20-RE,42B-12-5357,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00192,2021/04/14,NCT (TAKSONY),Taksony,üzem,M18192,DSC 20/40-RE,42C-12-5399,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00193,2021/04/14,NCT (TAKSONY),Taksony,üzem,M18192,DSC 20/40-RE,42C-12-5575,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00194,2021/04/14,NCT (TAKSONY),Taksony,üzem,M18192,DSC 20/40-RE,42C-12-5576,átnézni,2021/04/13/,0,"1,00",Dévai,trafó csere,,,,,,,
J00195,2021/04/14,NCT (TAKSONY),Taksony,üzem,M18192,DAC 40/80-RT,43C-14-5421,átnézni,2021/04/20/,0,"3,00",Csabai,trafó csere,,,,,,,
J00196,2021/04/14,NCT (TAKSONY),Taksony,üzem,M19007,Ai15 hűtött,D86-10-9323,"rezeg, nincs kiegyensúlyozva",,1,,,,,,,,,,
J00197,2021/04/19,NCT (TAKSONY),Taksony,üzem,M20095,AiB8,F04-10-9566,"jó, nem kellett",,1,,,,,,,,,,
J00198,2021/04/19,NCT (TAKSONY),Taksony,üzem,M18259,AiB15,F05-10-9399,"remeg a motor, valószínüleg csapágyas",,1,,,,,,,,,,
J00199,2021/04/19,NCT (TAKSONY),Taksony,üzem,M18260,IPS2,607-10-1058,"jó, IPS1 kell",,1,,,,,,,,,,
J00200,2021/04/19,NCT (TAKSONY),Taksony,üzem,M18246,DSC 20/40-RE,42C-12-5720,jeladóhiba,2021/04/20/,0,"1,00",Dévai,Hiba nem jelentkezett (nem ez volt a hibás),,,,,,,
J00201,2021/04/19,NCT (TAKSONY),Taksony,üzem,M18246,DSC 20/40-RE,42C-12-5636,jeladóhiba,2021/04/20/,0,"1,00",Dévai,Hiba nem jelentkezett (nem ez volt a hibás),,,,,,,
J00202,2021/04/20,NCT (TAKSONY),Taksony,üzem,M19168,DSC 10/20-RE,42B-12-5516,átnézni,2021/04/22/,0,"1,00",Dévai,Trafó csere,,,,,,,
J00203,2021/04/20,NCT (TAKSONY),Taksony,üzem,M19168,DAC 10/20-RT,43B-14-5567,átnézni,2021/04/22/,0,"1,00",Dévai,Trafó csere,,,,,,,
J00204,2021/04/20,NCT (TAKSONY),Taksony,üzem,M19168,DSC 10/20-RE,42B-12-5300,átnézni,2021/04/22/,0,"1,00",Dévai,Trafó csere,,,,,,,
J00205,2021/04/20,NCT (TAKSONY),Taksony,üzem,M19168,DSC 10/20-RE,42B-12-5538,átnézni,2021/04/22/,0,"1,00",Dévai,Trafó csere,,,,,,,
J00206,2021/04/20,NCT (TAKSONY),Taksony,üzem,M19168,DSC 10/20-RE,42B-12-5268,átnézni,2021/04/22/,0,"1,00",Dévai,Trafó csere,,,,,,,
J00207,2021/04/28,NCT (TAKSONY),Taksony,üzem,M15023,DAC-10/20-LT,43B-13-5534,"átnézni , helyette megkapta M13285 43B-13-5561",2021/04/30/,0,"1,00",Dévai,Trafó csere,,,,,,,
J00208,2021/04/28,NCT (TAKSONY),Taksony,üzem,M18230,DAC 20/40-LT,43C-13-5310,"átnézni , helyette megkapta M20005 43C-13-5988",2021/04/30/,0,"1,00",Dévai,trafó csere,,,,,,,
J00209,2021/04/28,NCT (TAKSONY),Taksony,üzem,M18230,DSC 10/20-LE,42B-11-5250,"átnézni, helyette megkapta M19054 42B-11-5668",2021/04/30/,0,"1,00",Dévai,trafó csere,,,,,,,
J00210,2021/04/28,NCT (TAKSONY),Taksony,üzem,M18230,DSC 10/20-LE,42B-11-5252,"átnézni, helyette megkapta M20005 42B-11-6068",2021/04/30/,0,"1,00",Dévai,trafó csere,,,,,,,
J00211,2021/04/28,NCT (TAKSONY),Taksony,üzem,M20117,IPS1,606-10-1062,"jó, IPS2 kell",,1,,,,,,,,,,
J00212,2021/04/28,NCT (TAKSONY),Taksony,üzem,M14233,EPU,004-10-1035,"jó, nem kell",,1,,,,,,,,,,
J00213,2021/04/28,NCT (TAKSONY),Taksony,üzem,M19044,2EXE501,192501-0303,"nincsenek benne kártyák, a ház használható",,1,,,,,,,,,,
J00214,2021/04/29,NCT (TAKSONY),Taksony,üzem,M16300,DSC 20/40-RE,42C-12-5738,"Jó, nagyobbra cserélve",,0,,,,,,,,,,
J00215,2021/05/03,NCT (TAKSONY),Taksony,üzem,M20130,MK1904,219-30-0310,"IHDW-vel nem müködik, helyette megkapta az M19008-ból",,0,"1,00",Schmiedmeiszter László,"Hibát nem találtam. MHW és IHDW cserénél be kell állítani, hogy milyen felbontású a kézikerék!!",,,,,,,
J00216,2021/05/05,NCT (TAKSONY),Taksony,üzem,M18230,DAC-20/40-LT,43-C-13-5988,orsó fel-le futás hiba helyette 43C-13-5882 megkapta M20077-től,2021/06/01/,0,"1,00",Dévai,"hiba nem jelentkezett, laborteszt ok",,,,,,,
J00217,2021/05/10,NCT (TAKSONY),Taksony,üzem,M20137,DPU1904,21394-0331,"USB hiba, megkapta az M20140-ből",2021/05/20/,0,"1,00",Schmidmeiszter László,USB kábel javítás,,,,,,,
J00218,2021/05/10,NCT (TAKSONY),Taksony,üzem,M20099,EPU-SIS,100-30-1042,ethercat ismeretlen eszközként ismeri fel (Kobolák Pisti),,1,,,,,,,,,,
J00219,2021/05/10,NCT (TAKSONY),Taksony,üzem,M20130,TTLAC2,032-30-0612,"21V került az analóg kimenetre, utána az ECAT láncban zárlatott okozott",,0,"1,00",Schmidmeiszter László,"5V zárlat keresés, bemérés",IH0515S tápkocka ,,,,,,
J00220,2021/05/10,NCT (TAKSONY),Taksony,üzem,M20130,TTLAC2,032-30-0632,"21V került az analóg kimenetre, utána az ECAT láncban zárlatott okozott",,0,"1,00",Schmidmeiszter László,"5V zárlat keresés, bemérés",IH0515S tápkocka ,,,,,,
J00221,2021/05/14,NCT (TAKSONY),Taksony,üzem,M20029,DSC-10/20 LE,42B-11-5283,ellenőrzésre ,2021/06/01/,0,"1,00",Dévai,trafó csere,,,,,,,
J00222,2021/05/14,NCT (TAKSONY),Taksony,üzem,M20029,DSC-10/20 LE,42B-11-5496,ellenőrzésre,2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00223,2021/05/17,NCT (TAKSONY),Taksony,üzem,M20183,PRC-3-40-80-R,57C-11-3777,"P hibajelzés jött, kivizsgálásra beküldve, helyette megkapta az M20160-ból",2021/05/18/,0,"1,00",Csabai,"hibát nemtaláltam, átadva labornak",,,,,,,
J00224,2021/05/18,NCT (TAKSONY),Taksony,üzem,M17226,Ai28,D07-10-7952,"jó, Taiwani tartalék motor volt",,1,,,,,,,,,,
J00225,2021/05/18,NCT (TAKSONY),Taksony,üzem,M18234,AiB15,F06-10-9270,"jó, nem kellett",,1,,,,,,,,,,
J00226,2021/05/18,NCT (TAKSONY),Taksony,üzem,M18230,AiB15,F06-10-9134,"jó, nem kellett",,1,,,,,,,,,,
J00227,2021/05/18,NCT (TAKSONY),Taksony,üzem,M18230,DSC 10/20-LE,42B-11-5303,"jó, nem kellett",,0,,,,,,,,,,
J00228,2021/05/18,NCT (TAKSONY),Taksony,üzem,M19037,Ai28,D07-10-9261,"jó, nem kellett",,1,,,,,,,,,,
J00229,2021/05/18,NCT (TAKSONY),Taksony,üzem,M18230,Ai08,D04-10-9067,"jó, nem kellett",,1,,,,,,,,,,
J00230,2021/05/19,NCT (TAKSONY),Taksony,üzem,M19073,DAC 40/80-LT,43E-13-5317,"átnézni,helyette megkapta M18289-ből 43E-13-5711",2021/06/08/,0,"3,00",Csabai,trafó csere,,,,,,,
J00231,2021/05/19,NCT (TAKSONY),Taksony,üzem,M19073,DAC 20/40-LT,43C-13-5256,"átnézni,helyette megkapta M20034-ből 43C-13-5521",,1,,,,,,,,,,
J00232,2021/05/19,NCT (TAKSONY),Taksony,üzem,M19073,DSC 10/20-LE,42B-11-5306,"átnézni, helyette megkapta M18187-ből 42B-11-5541",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00233,2021/05/19,NCT (TAKSONY),Taksony,üzem,M19073,DSC 10/20-LE,42B-11-5304,"átnézni, helyette megkapta 42B-11-5305",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00234,2021/05/19,NCT (TAKSONY),Taksony,üzem,M19073,DSC-10/20-LE,42B-11-5284,"átnézni, helyette megkapta M18187-ből 42B-11-5446",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00235,2021/05/19,NCT (TAKSONY),Taksony,üzem,M18248,DSC 20/40-RE,42C-12-5207,"átnézni, helyette megkapta M18246-ból 42C-12-6112",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00236,2021/05/19,NCT (TAKSONY),Taksony,üzem,M18248,DSC 20/40-RE,42C-12-5402,"átnézni, helyette megkapta M20120-ból 42C-12-5738",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00237,2021/05/19,NCT (TAKSONY),Taksony,üzem,M20118,DSC 10/20-RE,42B-12-5582,"átnézni,",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00238,2021/05/19,NCT (TAKSONY),Taksony,üzem,M18324,DSC 10/20-RE,42B-12-5536,átnézni,2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00239,2021/05/19,NCT (TAKSONY),Taksony,üzem,M18324,DSC 10/20-RE,42B-12-5537,átnézni,2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00240,2021/05/19,NCT (TAKSONY),Taksony,üzem,M13350,DSC 10/20-RE,42B-12-5243,átnézni,,1,,,,,,,,,,
J00241,2021/05/19,NCT (TAKSONY),Taksony,üzem,M14299,DAC 60/120-RT,42F-14-5213,átnézni,2021/07/01/,0,"3,00",Csabai,trafó csere,,,,,,,
J00242,2021/05/19,NCT (TAKSONY),Taksony,üzem,M19006,DAC 20/40-LT,43C-13-5334,"átnézni, helyette megkapta M20005-ből 43C-13-5310",2021/05/28/,0,"1,00",Dévai,trafó csere,,,,,,,
J00243,2021/05/19,NCT (TAKSONY),Taksony,üzem,M18246,DSC 40/80-RE,42D-12-5478,"átnézni, helyette megkapta M20170-ből 42D-12-6089",,1,,,,,,,,,,
J00244,2021/05/20,NCT (TAKSONY),Taksony,üzem,M17264,DSC 10/20-LE,42B-11-5277,átnézni,2021/05/28/,0,"1,00",Dévai,trafó csere,,,vissza Taksony,,,,
J00245,2021/05/20,NCT (TAKSONY),Taksony,üzem,M20089,DSC 10/20-LE,42B-11-5981,"jó, cserélve 20/40-re",,0,,,,,,késztermék raktárba,,,,
J00246,2021/05/21,NCT (TAKSONY),Taksony,üzem,M19132,DSC 10/20-RE,42B-12-5570,"átnézni, helyette megkapta M20170-ből 42B-12-6059",2021/05/31/,0,"1,00",Dévai,trafó csere,,,,,,,
J00247,2021/05/21,NCT (TAKSONY),Taksony,üzem,M19032,DSC 10/20-RE,42B-12-5571,"átnézni, helyette megkapta M20170-ből 42B-12-6060",2021/05/31/,0,"1,00",Dévai,trafó csere,,,,,,,
J00248,2021/05/21,NCT (TAKSONY),Taksony,üzem,M19032,DSC 10/20-RE,42B-12-5515,"átnézni, helyette megkapta M20170-ből 42B-12-6039",2021/05/31/,0,"1,00",Dévai,trafó csere,,,,,,,
J00249,2021/05/21,NCT (TAKSONY),Taksony,üzem,M19032,DSC 10/20-RE,42B-12-5533,"átnézni, helyette megkapta M20170-ből 42B-12-6037",2021/05/31/,0,"1,00",Dévai,trafó csere,,,,,,,
J00250,2021/05/21,NCT (TAKSONY),Taksony,üzem,M19032,DSC 10/20-RE,42B-12-5539,"átnézni, helyette megkapta M20170-ből 42B-12-6040",2021/05/31/,0,"1,00",Dévai,trafó csere,,,,,,,
J00251,2021/05/21,NCT (TAKSONY),Taksony,üzem,M19032,DSC 10/20-RE,42B-12-5540,"átnézni, helyette megkapta M21057-ből 42B-12-6072",2021/05/31/,0,"1,00",Dévai,trafó csere,,,,,,,
J00252,2021/05/21,NCT (TAKSONY),Taksony,üzem,bemutató fal,DSC 10/20-LE,453-11-3185,"inicializálási hiba,ECAT kommunkációs hiba helyette megkapta M20139-ből 42B-11-5763",,1,,,"régi verzós, nem adható ki",,,,,,,
J00253,2021/05/27,NCT (TAKSONY),Taksony,üzem,M20100,EPU-SIS,100-30-0659,"NV RAM eszköz nem üzemkész, helyette elvették az ""élesztésre"" feliratút 100-30-539 ",,1,,,,,,,,,,
J00254,2021/05/31,NCT (TAKSONY),Taksony,üzem,M20099,IHDW,40-00000025-01,"rövidre zárja a kártyát, vhol el van forrasztva",,1,,,,,,,,,,
J00255,2021/06/01,NCT (TAKSONY),Taksony,üzem,M20156,AiS 100,CC2-10-5101,"Egyensúlyozás után felszerelték a motort, de elment a rezgése.",,1,,,,,,,,,,
J00256,2021/06/08,NCT (TAKSONY),Taksony,üzem,M19073,EPU-SIS,100-30-0877,XML hiba újraindítás után,,1,,,,,,,,,,
J00257,2021/06/09,NCT (TAKSONY),Taksony,üzem,M20099,Ai15,D05-10-9640,"jeladó hiba, helyette megkapta M20120-tól D05-10-9747",,1,,,,,,,,,,
